ID,age,gender,ses,poli,civicengage1,colleff1_1,colleff2_1,affectpol1,polar1,perpolarlay1,perpolarelite1,media1_tv1,media2_newspaper1,media3_sns1,media4_youtube1,media5_community1,media6_other1,media6_othertext1,civicengage2,colleff1_2,colleff2_2,voteintention2,media1_tv2,media2_newspaper2,media3_sns2,media4_youtube2,media5_community2,media6_other2,media6_othertext2,media1_tv_perc2,media2_newspaper_perc2,media3_sns_perc2,media4_youtube_perc2,media5_community_perc2,media6_other_perc2,media6_othertext_perc2,affectpol2,polar2,perpolarlay2,perpolarelite2,civicengage3,colleff1_3,colleff2_3,vote3,media1_tv3,media2_newspaper3,media3_sns3,media4_youtube3,media5_community3,media6_other3,media6_othertext3,media1_tv_perc3,media2_newspaper_perc3,media3_sns_perc3,media4_youtube_perc3,media5_community_perc3,media6_other_perc3,media6_othertext_perc3,affectpol3,polar3,perpolarlay3,perpolarelite3
303,22,1,4,8,75,5,4,92,5,6,7,1,NA,NA,NA,NA,NA,NA,10,4,2,1,1,NA,NA,NA,NA,NA,NA,100,0,0,0,0,NA,NA,67,3,2,5,62,4,4,1,1,NA,NA,NA,NA,NA,NA,100,0,0,0,0,0,0,98,4,6,7
304,60,1,7,6,35,4,4,0,1,8,8,NA,NA,3,NA,NA,NA,NA,0,2,4,2,NA,2,NA,NA,NA,NA,NA,20,40,25,15,0,NA,NA,0,1,4,4,7,4,4,2,NA,NA,3,NA,NA,NA,NA,10,80,5,5,0,0,0,0,0,2,1
305,55,1,8,5,73,5,5,61,0,6,6,1,2,3,NA,5,NA,NA,68,4,4,1,1,NA,NA,4,NA,NA,NA,40,0,10,50,0,NA,NA,37,0,1,0,62,4,4,1,1,NA,NA,4,NA,NA,NA,40,0,5,30,25,0,0,34,0,1,2
306,60,1,6,8,73,4,3,40,1,1,3,NA,NA,NA,4,NA,NA,NA,59,3,4,1,1,NA,3,4,5,NA,NA,40,10,20,10,20,NA,NA,48,2,4,7,85,2,5,1,1,2,3,4,5,NA,NA,30,10,20,15,25,0,0,38,1,7,6
307,65,2,4,5,74,5,3,13,1,4,9,1,2,NA,NA,NA,NA,NA,24,4,3,1,1,NA,NA,4,NA,NA,NA,40,10,10,40,0,NA,NA,0,0,9,8,75,4,5,1,1,NA,NA,4,5,NA,NA,50,10,20,10,10,0,0,42,0,7,7
308,64,1,3,6,12,3,3,40,2,6,6,1,NA,NA,4,NA,6,포털뉴스,0,4,2,1,1,NA,NA,NA,NA,NA,NA,100,0,0,0,0,NA,NA,26,2,7,7,18,4,2,1,1,NA,NA,NA,NA,NA,NA,80,0,0,0,0,0,20,41,3,6,6
309,42,1,7,2,66,2,3,49,1,1,1,1,NA,NA,NA,NA,NA,NA,67,4,4,1,NA,NA,NA,NA,5,NA,NA,80,0,0,10,10,NA,NA,47,1,1,1,60,3,4,1,NA,2,NA,NA,NA,NA,NA,80,0,0,0,20,0,0,2,0,0,1
310,61,2,4,5,37,3,4,32,0,0,1,NA,2,3,NA,NA,NA,NA,56,4,4,1,1,NA,NA,4,NA,NA,NA,45,10,20,15,10,NA,NA,31,1,3,5,69,4,3,1,NA,2,NA,4,NA,NA,NA,10,30,30,20,5,0,5,33,3,3,1
311,44,1,4,6,13,3,2,16,1,8,6,1,NA,NA,4,NA,NA,NA,37,4,3,3,1,NA,NA,4,NA,NA,NA,50,0,10,30,10,NA,NA,54,3,8,10,27,3,2,2,1,NA,NA,4,NA,NA,NA,80,0,0,20,0,0,0,28,0,7,9
312,48,2,4,5,62,4,4,60,2,6,7,1,NA,NA,NA,NA,NA,NA,28,2,4,1,1,NA,3,NA,NA,NA,NA,70,0,10,20,0,NA,NA,51,1,7,8,19,2,4,1,1,NA,NA,4,NA,NA,NA,80,0,10,10,0,0,0,79,0,8,7
313,38,1,3,5,50,4,3,0,1,0,0,1,NA,NA,NA,NA,NA,NA,21,4,4,1,NA,NA,NA,NA,5,NA,NA,40,10,0,0,50,NA,NA,0,4,0,0,36,4,3,1,1,NA,NA,NA,NA,NA,NA,100,0,0,0,0,0,0,17,1,0,0
314,63,1,5,4,73,4,5,31,1,5,5,1,NA,NA,NA,NA,NA,NA,81,5,4,1,NA,NA,NA,NA,5,NA,NA,35,10,5,40,10,NA,NA,68,1,5,5,67,4,4,1,1,2,NA,NA,NA,NA,NA,60,10,5,15,10,0,0,70,1,0,1
315,65,1,1,6,0,2,1,30,2,6,8,NA,NA,NA,4,5,NA,NA,0,3,2,3,NA,2,NA,NA,5,NA,NA,10,20,5,5,60,NA,NA,46,2,7,9,10,1,1,1,NA,NA,3,NA,5,NA,NA,10,10,10,10,60,0,0,33,3,9,8
316,61,1,4,8,90,4,5,80,5,8,5,1,NA,NA,4,NA,NA,NA,40,4,4,1,NA,NA,NA,4,NA,NA,NA,9,0,1,90,0,NA,NA,90,5,7,6,40,3,4,1,NA,NA,NA,4,NA,NA,NA,5,5,0,90,0,0,0,85,4,7,6
317,43,2,7,3,76,5,5,63,1,8,7,NA,NA,NA,4,NA,NA,NA,66,5,5,1,NA,NA,NA,4,NA,NA,NA,10,10,0,80,0,NA,NA,73,2,4,5,80,5,5,1,NA,2,NA,4,NA,NA,NA,10,30,10,50,0,0,0,84,2,7,7
318,60,1,6,4,25,3,3,43,0,8,7,1,NA,NA,NA,NA,NA,NA,57,4,4,1,1,NA,NA,NA,NA,NA,NA,100,0,0,0,0,NA,NA,33,2,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
319,51,1,9,6,74,4,4,78,0,5,5,1,NA,NA,4,NA,NA,NA,75,4,5,1,1,NA,NA,4,NA,NA,NA,30,0,0,70,0,NA,NA,82,0,6,6,73,5,5,1,1,NA,NA,4,NA,NA,NA,40,0,0,60,0,0,0,95,1,6,6
321,61,1,5,4,71,4,5,32,1,6,8,1,2,NA,NA,NA,NA,NA,43,2,4,1,1,2,NA,NA,NA,NA,NA,50,20,10,20,0,NA,NA,31,2,7,6,63,4,4,1,1,2,NA,NA,5,NA,NA,30,10,20,20,10,0,10,20,0,6,7
322,35,1,2,5,0,4,2,34,1,0,0,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
323,59,1,4,3,58,4,5,94,1,6,8,NA,NA,3,4,NA,NA,NA,83,4,5,1,NA,NA,3,NA,NA,NA,NA,1,1,38,60,0,NA,NA,78,2,5,7,68,4,5,1,NA,NA,3,4,NA,NA,NA,1,0,50,49,0,0,0,18,2,5,6
324,68,1,6,5,77,4,4,20,0,4,5,1,NA,NA,4,NA,NA,NA,61,4,4,1,1,NA,3,NA,NA,NA,NA,50,10,20,10,10,NA,NA,10,1,5,6,78,4,4,1,1,NA,3,NA,NA,NA,NA,50,20,15,10,5,0,0,5,1,4,4
325,27,1,4,5,53,4,3,3,0,10,10,NA,NA,3,NA,NA,NA,NA,50,3,2,3,NA,NA,NA,NA,5,NA,NA,50,0,20,20,10,NA,NA,3,0,9,10,20,3,3,3,1,NA,3,NA,5,NA,NA,10,10,50,20,10,0,0,1,0,9,7
326,58,2,7,8,100,4,5,34,6,8,10,1,NA,3,NA,NA,NA,NA,29,5,5,1,1,NA,NA,4,NA,NA,NA,90,5,3,1,1,NA,NA,59,3,9,10,32,4,3,1,1,NA,NA,NA,NA,NA,NA,80,0,10,10,0,0,0,61,4,2,2
327,41,1,5,5,28,4,4,0,0,0,0,1,NA,NA,NA,NA,NA,NA,55,3,4,1,1,NA,NA,NA,NA,6,라디오,80,0,0,0,0,20,NA,5,0,0,0,48,3,4,1,1,NA,NA,NA,NA,NA,NA,100,0,0,0,0,0,0,0,0,0,0
328,40,1,5,5,47,4,3,9,2,8,6,1,NA,NA,NA,NA,NA,NA,28,4,3,1,1,NA,NA,4,NA,NA,NA,70,0,0,30,0,NA,NA,37,1,5,7,59,4,2,1,1,NA,NA,4,NA,NA,NA,70,10,10,10,0,0,0,18,0,5,6
329,34,2,4,5,56,5,2,0,0,0,0,1,NA,3,NA,NA,NA,NA,50,4,3,1,1,NA,3,NA,5,NA,NA,30,10,40,10,10,NA,NA,0,0,0,3,50,3,4,1,1,NA,3,NA,NA,NA,NA,20,60,20,0,0,0,0,0,0,0,1
330,43,1,5,6,48,4,4,0,1,1,2,1,2,NA,NA,NA,NA,NA,47,4,4,1,1,2,NA,NA,NA,NA,NA,20,20,20,20,20,NA,NA,1,2,2,6,8,4,4,1,NA,2,NA,NA,NA,NA,NA,10,20,20,20,20,0,10,1,0,0,0
331,66,2,6,6,24,4,4,0,1,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,3,3,1,1,NA,NA,NA,NA,NA,NA,60,20,20,0,0,0,0,20,3,6,8
332,49,1,3,8,76,3,4,58,1,6,4,1,2,3,4,5,NA,NA,62,5,4,1,1,2,3,4,5,NA,NA,20,10,20,20,30,NA,NA,40,2,1,0,74,5,4,1,1,2,3,4,5,NA,NA,20,40,10,10,10,0,10,67,1,2,0
333,63,2,4,7,54,4,3,4,1,1,2,1,NA,NA,4,NA,NA,NA,38,4,4,1,1,NA,NA,4,NA,NA,NA,30,10,10,40,10,NA,NA,66,2,6,4,40,3,4,1,NA,NA,NA,4,NA,NA,NA,10,10,10,60,10,0,0,50,4,0,0
334,52,2,5,5,59,4,4,6,0,5,4,1,2,3,4,NA,NA,NA,59,4,4,1,1,2,NA,NA,5,NA,NA,70,10,5,5,10,NA,NA,17,0,2,3,50,4,4,1,1,NA,NA,NA,NA,NA,NA,50,10,10,10,10,0,10,4,0,3,3
335,67,2,5,5,70,4,4,18,0,0,0,1,NA,3,NA,NA,NA,NA,40,4,4,1,1,NA,NA,4,NA,NA,NA,30,20,10,30,10,NA,NA,20,2,2,2,48,4,4,1,1,NA,3,4,NA,NA,NA,40,10,20,20,10,0,0,30,0,5,6
336,38,2,1,5,23,4,5,3,2,10,8,1,2,3,NA,NA,NA,NA,0,4,3,3,NA,NA,NA,4,NA,NA,NA,0,10,0,90,0,NA,NA,0,3,10,7,0,3,3,2,1,NA,3,NA,NA,NA,NA,50,10,20,7,10,0,3,0,0,10,10
337,60,2,7,2,50,3,3,76,4,1,1,NA,NA,3,4,NA,NA,NA,52,3,3,1,NA,NA,3,NA,NA,NA,NA,20,0,20,60,0,NA,NA,89,4,0,0,61,3,3,1,NA,NA,NA,NA,5,NA,NA,50,0,10,30,10,0,0,13,1,0,2
338,51,2,2,4,50,3,3,1,0,0,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,2,4,1,NA,NA,NA,4,NA,NA,NA,100,0,0,0,0,0,0,21,0,2,0
339,63,2,4,6,0,4,2,13,2,7,1,1,2,3,NA,NA,NA,NA,0,4,2,1,NA,NA,NA,4,NA,NA,NA,50,0,50,0,0,NA,NA,37,3,2,5,6,4,4,1,1,NA,NA,NA,NA,NA,NA,60,20,0,10,10,0,0,33,0,1,2
340,54,2,4,4,70,3,3,18,2,2,1,1,2,3,NA,5,NA,NA,70,4,4,1,1,NA,3,NA,5,NA,NA,60,15,10,5,10,NA,NA,17,3,1,2,69,4,4,1,1,NA,NA,NA,NA,NA,NA,70,10,10,5,5,0,0,38,5,3,4
341,24,2,5,1,40,5,5,48,3,7,6,1,NA,3,4,NA,NA,NA,26,5,5,1,1,2,3,4,NA,NA,NA,30,20,30,10,10,NA,NA,78,6,6,6,63,5,5,1,1,NA,3,4,5,NA,NA,10,20,50,10,10,0,0,77,6,7,6
342,62,2,6,7,57,4,3,56,2,7,5,1,NA,NA,4,NA,NA,NA,29,4,4,1,1,2,NA,4,NA,NA,NA,40,30,0,30,0,NA,NA,49,1,3,7,61,3,4,1,1,NA,NA,4,NA,NA,NA,50,0,0,50,0,0,0,36,0,6,5
343,61,2,8,4,83,4,3,31,3,5,2,NA,NA,NA,4,NA,NA,NA,81,3,3,2,1,NA,NA,NA,NA,NA,NA,20,30,0,20,30,NA,NA,0,1,0,5,66,3,3,3,1,NA,NA,NA,NA,NA,NA,60,10,20,10,0,0,0,34,2,5,3
344,63,1,4,2,95,5,5,80,4,5,5,1,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,5,5,1,1,2,3,4,NA,NA,NA,20,20,20,20,20,0,0,71,5,4,4
345,36,2,5,3,40,5,5,27,2,4,3,1,2,NA,4,NA,NA,NA,50,4,4,1,1,2,NA,4,NA,NA,NA,40,40,0,20,0,NA,NA,34,3,4,4,50,5,4,1,1,NA,NA,4,NA,NA,NA,40,20,0,40,0,0,0,12,4,4,4
346,27,2,5,4,67,4,4,1,3,2,7,NA,2,NA,NA,NA,NA,NA,20,5,4,1,NA,NA,3,NA,NA,NA,NA,10,50,10,30,0,NA,NA,0,3,7,5,50,5,4,1,NA,2,3,NA,NA,NA,NA,0,0,90,10,0,0,0,0,2,3,7
347,38,2,4,2,38,5,4,81,3,8,7,1,NA,NA,NA,NA,NA,NA,74,4,5,1,1,NA,NA,NA,5,NA,NA,10,20,20,10,40,NA,NA,78,4,9,5,71,4,3,1,1,NA,NA,NA,NA,NA,NA,10,10,10,50,20,0,0,89,7,9,2
348,51,1,4,6,16,2,5,23,0,1,2,1,2,NA,NA,NA,NA,NA,31,4,3,1,1,NA,3,4,NA,NA,NA,70,10,10,10,0,NA,NA,0,1,4,3,5,3,4,1,1,NA,NA,4,NA,NA,NA,60,0,20,15,0,0,5,40,0,2,6
349,34,1,9,0,81,5,4,100,0,10,10,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,5,5,1,1,2,NA,NA,NA,NA,NA,20,60,20,0,0,0,0,100,0,10,10
350,69,2,6,7,50,3,4,39,2,5,6,1,NA,NA,NA,NA,NA,NA,24,3,4,1,NA,NA,NA,4,NA,NA,NA,20,0,20,50,10,NA,NA,63,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
352,53,2,5,2,71,4,4,28,2,6,7,1,NA,NA,NA,NA,NA,NA,31,3,3,1,1,NA,NA,NA,NA,NA,NA,90,0,0,10,0,NA,NA,31,0,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
353,69,1,8,6,0,4,4,34,2,5,7,1,2,NA,NA,NA,NA,NA,0,4,4,3,1,2,NA,NA,NA,NA,NA,30,70,0,0,0,NA,NA,0,1,5,7,0,4,3,2,NA,2,NA,NA,NA,NA,NA,50,50,0,0,0,0,0,35,1,4,7
354,27,2,1,0,1,3,4,94,6,10,10,1,NA,3,NA,NA,NA,NA,50,4,5,1,1,NA,NA,NA,NA,NA,NA,80,0,10,10,0,NA,NA,94,3,10,10,0,4,5,1,1,2,3,4,NA,NA,NA,80,5,5,10,0,0,0,99,3,10,10
355,58,1,4,4,21,1,1,31,1,5,0,1,NA,NA,NA,NA,NA,NA,60,2,1,1,NA,2,NA,NA,NA,NA,NA,0,20,0,80,0,NA,NA,9,1,1,0,56,2,3,1,NA,2,NA,NA,NA,NA,NA,0,100,0,0,0,0,0,1,2,3,1
356,64,1,5,6,50,1,2,50,4,0,0,1,2,NA,4,NA,NA,NA,50,4,4,1,1,2,NA,4,5,NA,NA,40,30,5,20,5,NA,NA,77,2,7,7,27,5,4,1,1,2,NA,4,NA,NA,NA,20,40,0,30,0,0,10,49,0,8,7
357,61,1,6,5,50,5,4,57,0,6,4,1,2,3,4,NA,NA,NA,50,5,4,1,1,2,NA,4,NA,NA,NA,60,5,10,20,5,NA,NA,0,2,4,6,67,5,4,1,1,2,3,4,NA,NA,NA,35,10,20,30,5,0,0,34,2,4,6
358,62,1,2,0,84,5,5,67,0,10,10,1,NA,3,4,NA,NA,NA,83,5,5,1,1,NA,3,4,NA,NA,NA,30,10,10,40,10,NA,NA,97,3,6,6,54,4,4,1,1,NA,NA,4,NA,NA,NA,20,15,5,60,0,0,0,72,4,6,6
359,63,2,6,4,50,5,4,71,4,7,8,1,NA,NA,NA,NA,NA,NA,11,4,4,1,1,NA,NA,NA,NA,NA,NA,80,10,10,0,0,NA,NA,73,3,7,8,50,4,4,1,1,NA,NA,NA,NA,NA,NA,85,5,5,0,5,0,0,26,3,0,8
360,65,1,5,6,30,3,3,22,2,7,6,1,NA,NA,NA,NA,NA,NA,7,4,3,1,1,NA,NA,NA,NA,NA,NA,70,20,5,5,0,NA,NA,37,2,5,7,5,3,2,1,1,NA,NA,NA,NA,NA,NA,70,30,0,0,0,0,0,29,3,6,6
361,68,1,6,1,70,5,5,95,3,9,8,1,NA,3,4,NA,NA,NA,5,4,5,1,1,NA,3,4,NA,NA,NA,30,0,20,50,0,NA,NA,80,2,6,8,24,5,5,1,1,2,NA,NA,NA,NA,NA,50,0,40,10,0,0,0,61,2,7,8
363,48,2,8,5,53,4,4,43,1,10,5,1,NA,NA,NA,NA,NA,NA,47,4,4,1,1,NA,NA,NA,NA,NA,NA,40,30,10,10,10,NA,NA,38,0,10,10,14,4,5,1,1,NA,3,NA,NA,NA,NA,50,10,40,0,0,0,0,58,1,10,10
364,52,1,3,5,73,5,5,21,3,3,2,NA,NA,3,NA,NA,NA,NA,61,5,5,1,NA,NA,3,NA,NA,6,해외 언론,0,0,30,0,0,70,NA,100,1,3,5,65,5,5,1,NA,NA,3,NA,NA,NA,NA,0,0,100,0,0,0,0,51,2,5,5
365,20,1,6,10,67,4,3,100,8,8,6,1,2,3,4,5,NA,NA,77,2,3,1,1,2,3,4,5,NA,NA,40,10,20,20,10,NA,NA,62,5,6,3,84,4,3,1,1,2,3,4,5,NA,NA,30,15,20,10,20,0,5,73,7,7,6
366,67,1,6,3,83,5,5,68,3,7,7,NA,NA,3,4,NA,NA,NA,89,5,5,1,NA,2,3,4,NA,NA,NA,0,30,10,50,10,NA,NA,100,7,8,7,75,5,5,1,NA,NA,3,4,NA,NA,NA,10,0,40,30,10,0,10,96,10,6,6
367,67,1,7,9,66,4,4,69,5,7,8,1,NA,NA,NA,NA,NA,NA,68,4,5,1,1,2,3,NA,NA,NA,NA,60,10,5,5,20,NA,NA,93,3,7,6,65,4,4,1,1,NA,NA,NA,5,NA,NA,70,20,0,10,0,0,0,88,5,7,6
368,62,1,5,5,43,4,3,23,1,0,0,1,2,NA,4,NA,NA,NA,59,4,3,1,1,NA,NA,NA,NA,NA,NA,70,10,0,5,15,NA,NA,6,0,3,0,36,4,4,1,1,NA,NA,NA,NA,NA,NA,80,15,0,5,0,0,0,20,2,1,1
369,68,1,8,7,39,4,3,33,3,4,5,1,2,3,NA,NA,NA,NA,50,4,4,1,1,2,NA,NA,NA,NA,NA,30,55,5,5,5,NA,NA,53,3,5,5,50,4,4,1,1,2,3,NA,NA,NA,NA,35,35,15,10,5,0,0,21,3,5,4
370,25,2,1,5,0,3,3,0,0,1,2,1,NA,3,4,5,NA,NA,87,5,5,1,1,NA,3,NA,5,NA,NA,0,0,0,50,50,NA,NA,44,0,0,1,50,4,3,1,NA,NA,NA,4,5,NA,NA,50,0,0,50,0,0,0,0,1,0,0
371,54,2,5,4,100,5,5,52,3,2,2,1,NA,NA,4,NA,NA,NA,10,5,5,1,1,NA,NA,4,NA,NA,NA,15,0,5,80,0,NA,NA,80,0,0,2,0,5,5,2,1,NA,3,4,NA,NA,NA,20,0,5,75,0,0,0,0,1,5,2
372,55,2,3,8,50,2,3,75,0,8,8,NA,NA,NA,4,NA,NA,NA,71,4,5,1,NA,NA,NA,4,NA,NA,NA,0,0,20,80,0,NA,NA,90,0,8,6,90,5,5,1,NA,NA,NA,4,NA,NA,NA,20,0,10,70,0,0,0,100,0,5,8
373,68,2,6,5,50,5,4,91,0,4,5,NA,NA,NA,4,NA,NA,NA,50,5,5,1,1,NA,NA,4,NA,NA,NA,30,0,0,70,0,NA,NA,3,0,5,5,0,4,4,1,NA,NA,NA,4,NA,NA,NA,1,0,0,99,0,0,0,94,0,0,5
374,50,2,2,5,50,5,5,0,0,6,6,1,NA,NA,NA,NA,NA,NA,50,5,5,1,1,NA,NA,NA,NA,NA,NA,50,50,0,0,0,NA,NA,0,0,3,7,50,5,5,1,1,NA,NA,NA,NA,NA,NA,100,0,0,0,0,0,0,0,0,4,6
375,23,1,5,2,51,4,2,0,8,3,2,NA,NA,NA,4,NA,NA,NA,50,3,3,1,NA,NA,3,NA,NA,NA,NA,20,5,5,40,30,NA,NA,0,3,2,3,49,3,2,3,1,NA,NA,NA,NA,NA,NA,20,20,20,20,20,0,0,3,4,2,1
376,64,2,8,10,99,5,5,81,0,7,7,1,NA,3,4,NA,NA,NA,68,4,4,1,1,NA,NA,4,NA,NA,NA,50,10,0,40,0,NA,NA,83,3,7,5,90,4,4,1,1,NA,NA,4,NA,NA,NA,10,10,10,70,0,0,0,87,0,5,0
377,64,1,6,3,50,5,4,53,1,7,7,1,NA,NA,NA,NA,NA,NA,66,4,4,1,1,NA,NA,NA,5,NA,NA,80,0,0,0,20,NA,NA,54,1,6,7,61,4,3,1,1,NA,NA,NA,NA,NA,NA,80,0,0,20,0,0,0,56,0,8,8
378,60,2,5,5,69,4,4,34,1,4,0,1,NA,NA,4,NA,NA,NA,66,4,4,1,1,2,3,4,5,NA,NA,20,10,20,20,30,NA,NA,71,1,3,2,40,3,4,1,1,2,3,NA,NA,NA,NA,50,10,20,10,10,0,0,17,0,2,2
379,41,1,7,5,27,4,4,47,0,5,5,1,NA,NA,NA,5,NA,NA,41,4,4,1,1,NA,NA,NA,5,NA,NA,50,0,0,0,50,NA,NA,0,0,0,0,19,4,4,1,NA,2,NA,NA,NA,NA,NA,50,40,0,0,10,0,0,32,0,0,0
381,66,2,4,5,0,4,3,0,1,5,6,1,NA,NA,4,NA,NA,NA,0,4,3,3,1,2,NA,NA,NA,NA,NA,70,30,0,0,0,NA,NA,12,1,1,0,0,4,4,2,1,NA,NA,NA,NA,NA,NA,100,0,0,0,0,0,0,6,1,3,5
382,66,2,4,10,18,5,4,65,4,6,5,NA,NA,NA,4,NA,NA,NA,30,5,4,1,NA,NA,NA,4,NA,NA,NA,10,0,0,90,0,NA,NA,70,3,8,6,23,5,4,1,NA,NA,NA,4,NA,NA,NA,10,0,0,90,0,0,0,82,3,6,6
383,46,2,6,2,78,3,2,33,3,1,1,NA,NA,NA,4,NA,NA,NA,87,3,2,1,1,NA,NA,4,NA,NA,NA,0,0,0,100,0,NA,NA,6,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
384,30,1,4,7,13,4,3,72,4,4,3,NA,NA,3,NA,5,NA,NA,12,4,5,1,1,NA,NA,4,5,NA,NA,10,0,0,10,80,NA,NA,33,2,4,4,15,4,3,1,NA,NA,3,NA,5,NA,NA,0,0,20,0,80,0,0,49,1,4,2
385,69,1,6,6,87,4,4,31,2,4,5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
386,65,2,7,7,7,5,4,75,2,8,7,1,NA,NA,NA,NA,NA,NA,10,4,4,1,1,NA,NA,NA,NA,NA,NA,95,0,0,5,0,NA,NA,60,3,7,7,0,5,4,1,1,NA,NA,NA,NA,NA,NA,100,0,0,0,0,0,0,60,2,8,8
387,51,2,5,4,64,1,2,21,3,1,3,NA,NA,NA,4,NA,NA,NA,75,4,3,1,NA,NA,NA,4,NA,NA,NA,40,0,10,10,40,NA,NA,6,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
388,67,1,6,3,84,4,5,1,1,6,10,NA,2,3,4,5,NA,NA,67,4,3,3,1,2,NA,NA,NA,NA,NA,10,90,0,0,0,NA,NA,29,3,8,9,76,5,3,1,NA,2,NA,NA,NA,NA,NA,10,80,0,0,10,0,0,55,0,6,0
389,60,2,3,5,17,4,3,14,1,0,0,1,NA,NA,NA,NA,NA,NA,58,5,3,1,1,NA,NA,NA,NA,NA,NA,40,40,10,10,0,NA,NA,16,0,4,4,45,5,4,1,1,NA,NA,NA,NA,NA,NA,60,10,10,10,10,0,0,4,0,0,0
390,65,1,6,5,41,4,3,26,0,7,5,1,NA,NA,NA,NA,NA,NA,21,3,4,1,1,2,NA,NA,NA,NA,NA,70,30,0,0,0,NA,NA,25,0,7,8,20,4,4,1,1,NA,NA,NA,NA,NA,NA,80,20,0,0,0,0,0,16,0,2,7
391,66,1,8,8,52,3,4,92,2,8,8,1,NA,NA,4,NA,NA,NA,56,4,4,1,1,NA,NA,4,NA,NA,NA,20,10,10,55,5,NA,NA,79,3,6,7,34,4,2,1,1,NA,NA,4,NA,NA,NA,35,15,5,35,5,0,5,74,3,6,6
392,53,1,6,4,69,4,4,59,0,1,1,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
393,63,1,5,6,20,4,3,10,2,6,5,1,NA,NA,NA,NA,NA,NA,49,4,3,3,1,2,NA,NA,NA,NA,NA,80,20,0,0,0,NA,NA,10,0,4,1,30,4,3,1,1,NA,NA,NA,NA,NA,NA,90,10,0,0,0,0,0,10,1,6,4
394,63,2,4,2,83,4,5,52,3,6,6,NA,NA,NA,4,NA,NA,NA,71,5,4,1,1,NA,NA,4,NA,NA,NA,50,0,0,40,10,NA,NA,80,3,7,3,51,5,4,1,1,NA,NA,4,NA,NA,NA,50,0,10,30,10,0,0,48,3,7,0
395,53,1,6,5,33,4,4,28,0,2,3,1,NA,NA,NA,NA,NA,NA,33,5,2,1,1,NA,NA,NA,5,NA,NA,20,50,5,5,20,NA,NA,26,0,0,7,51,5,4,1,1,2,NA,NA,NA,NA,NA,70,30,0,0,0,0,0,34,0,4,1
396,50,2,4,5,50,3,2,0,1,3,8,1,2,NA,NA,NA,NA,NA,50,3,2,1,1,NA,NA,NA,NA,NA,NA,60,20,10,0,10,NA,NA,0,0,2,4,50,3,3,1,NA,2,NA,NA,NA,NA,NA,90,10,0,0,0,0,0,0,2,0,0
397,49,1,8,1,92,5,5,89,2,1,6,1,NA,3,NA,NA,NA,NA,77,5,5,1,1,NA,NA,NA,NA,NA,NA,90,2,4,2,2,NA,NA,37,3,2,6,82,4,4,1,1,NA,3,4,5,NA,NA,50,10,5,20,10,0,5,57,0,6,8
398,51,2,5,8,71,5,4,37,2,6,0,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
