ID,age,gender,ses,poli,civicengage1,colleff1_1,colleff2_1,affectpol1,polar1,perpolarlay1,perpolarelite1,media1_tv1,media2_newspaper1,media3_sns1,media4_youtube1,media5_community1,media6_other1,media6_othertext1,civicengage2,colleff1_2,colleff2_2,voteintention2,media1_tv2,media2_newspaper2,media3_sns2,media4_youtube2,media5_community2,media6_other2,media6_othertext2,media1_tv_perc2,media2_newspaper_perc2,media3_sns_perc2,media4_youtube_perc2,media5_community_perc2,media6_other_perc2,media6_othertext_perc2,affectpol2,polar2,perpolarlay2,perpolarelite2,civicengage3,colleff1_3,colleff2_3,vote3,media1_tv3,media2_newspaper3,media3_sns3,media4_youtube3,media5_community3,media6_other3,media6_othertext3,media1_tv_perc3,media2_newspaper_perc3,media3_sns_perc3,media4_youtube_perc3,media5_community_perc3,media6_other_perc3,media6_othertext_perc3,affectpol3,polar3,perpolarlay3,perpolarelite3
244,55,2,3,5,62,5,5,0,2,2,2,NA,NA,NA,4,NA,NA,NA,53,5,5,1,1,NA,NA,4,NA,NA,NA,20,5,5,70,0,NA,NA,5,0,5,4,30,5,4,1,1,NA,3,4,NA,NA,NA,30,10,10,50,0,0,0,50,0,6,6
245,60,2,8,5,89,5,5,56,1,4,8,1,2,3,4,5,NA,NA,80,4,4,1,1,2,3,4,5,NA,NA,35,30,15,10,10,NA,NA,72,1,5,5,90,4,4,1,1,2,3,4,5,NA,NA,30,20,20,10,10,0,10,60,0,6,5
246,67,2,5,9,26,3,3,71,0,4,4,1,NA,NA,NA,NA,NA,NA,10,4,2,1,1,NA,NA,NA,NA,NA,NA,100,0,0,0,0,NA,NA,80,0,4,4,10,3,2,1,1,NA,NA,NA,NA,NA,NA,50,20,10,10,5,0,5,60,2,4,8
247,45,2,4,5,59,5,5,8,1,2,0,1,2,NA,4,NA,NA,NA,12,5,5,1,1,2,NA,4,NA,NA,NA,90,5,0,5,0,NA,NA,5,1,6,7,61,5,4,1,1,2,NA,NA,NA,NA,NA,30,50,0,20,0,0,0,17,1,5,4
248,62,2,5,4,81,4,5,5,3,1,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,3,4,1,NA,NA,3,NA,5,NA,NA,20,20,15,15,15,0,15,20,1,1,1
249,28,2,3,5,0,3,3,0,1,1,1,NA,NA,3,NA,NA,NA,NA,12,4,3,1,1,NA,NA,NA,NA,NA,NA,100,0,0,0,0,NA,NA,73,2,10,10,35,4,3,1,1,NA,NA,NA,NA,NA,NA,100,0,0,0,0,0,0,43,1,10,8
250,68,2,4,6,52,4,3,48,1,5,8,1,2,NA,NA,NA,NA,NA,34,4,3,1,1,2,NA,NA,NA,NA,NA,80,20,0,0,0,NA,NA,58,1,2,5,57,4,4,1,1,2,NA,NA,NA,NA,NA,90,10,0,0,0,0,0,42,1,5,5
251,53,1,4,4,30,4,4,65,1,6,6,1,2,NA,4,NA,NA,NA,14,4,4,1,1,NA,NA,4,NA,NA,NA,30,10,0,60,0,NA,NA,50,0,6,6,10,4,3,1,1,2,NA,4,NA,NA,NA,30,20,0,50,0,0,0,50,0,5,7
252,46,2,2,5,50,4,2,0,1,0,0,1,NA,NA,NA,NA,NA,NA,75,4,2,1,1,NA,NA,4,NA,NA,NA,97,1,0,2,0,NA,NA,16,0,2,0,50,4,2,1,1,NA,NA,NA,NA,NA,NA,100,0,0,0,0,0,0,0,4,0,1
253,61,2,7,8,40,4,4,67,2,0,1,1,2,NA,4,NA,NA,NA,70,4,4,1,1,NA,NA,4,NA,NA,NA,50,30,10,10,0,NA,NA,70,2,7,8,9,4,4,1,1,2,NA,4,NA,NA,NA,50,40,0,10,0,0,0,75,2,6,5
254,64,1,5,4,85,5,5,100,1,5,5,1,2,3,4,NA,NA,NA,78,5,5,1,1,2,3,4,NA,NA,NA,30,30,20,20,0,NA,NA,73,0,5,5,76,4,5,1,1,NA,NA,NA,NA,NA,NA,10,10,40,20,10,0,10,90,0,5,5
255,68,1,7,5,87,4,3,5,0,0,2,1,NA,NA,NA,NA,NA,NA,61,2,3,1,NA,NA,NA,4,NA,NA,NA,50,10,10,20,10,NA,NA,19,3,1,0,71,3,2,1,1,NA,NA,NA,NA,NA,NA,5,10,15,40,30,0,0,2,0,0,2
256,54,2,5,2,85,4,1,0,7,3,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
